"Symbol","Date","Close","52Hi","MktCap","Delta ErnQ1","Delta RevQ1","RevQ1","ErnQ1","Zax","Ind","Delta ErnQ2","Delta ErnF1","Delta EarnF2","PE F1","PE Ind","P/S","ESP","Avg Vol","Short"
"CMCSA","1/24/18","40.41","42.18","182840","5.75","3.91","21850","0.48","3","222","0.86","17.96","6.78","18.74","83.1","2.3","-0.71","20001940","2.55"
"CNX","1/30/18","15.24","19.76","3210","N/A","-25.54","344.00","-0.06","5","69","23.53","130.49","246.00","34.84","-8.3","1.25","0.00","3144077","1.98"
"COF","1/23/18","99.44","101.43","45600","26.33","8.22","7110","1.83","3","107","19.43","8.08","13.37","11.73","9.5","1.72","-1.19","1682260","2.65"
"COP","2/1/18","56.34","56.37","62540","257.69","3.71","7520","0.41","3","42","3400.00","121.43","209.75","31.33","58","2.13","-20.73","4817983","3.94"
"COST","3/1/18","190.58","195.35","81510","21.37","9.27","32530","1.42","3","92","12.94","12.73","8.20","28.70","18.5","0.62","0.14","2517764","5.37"
"COTY","2/8/18","19.77","20.88","14650","-20.74","7.81","2480","0.24","3","107","2.50","7.76","36.99","29.28","22.7","1.69","2.62","3908849","7.77"
"CREE","1/23/18","37.89","40.24","3730","-92.86","0.85","349.90","0.01","3","42","-33.33","-72.86","295.45","281.03","-36.6","2.66","5.00","1120781","4.13"
"CRM","2/27/18","105.29","109.19","75290","18.28","22.53","2810","0.33","3","202","31.67","31.85","28.17","78.41","56.3","7.6","0.00","3424962","N/A"
"CSCO","2/21/18","39.17","39.00","187360","3.91","1.97","11810","0.59","3","71","2.88","2.75","5.23","15.82","20.7","4.02","-0.39","15677150","2.72"
"CSX","1/16/18","57.05","58.35","51220","14.49","-4.34","2910","0.56","3","107","13.73","22.35","21.10","21.01","20.7","4.35","1.31","8956844","2.71"
"CTIC","3/1/18","2.72","6.48","107.85","-87.50","-96.72","0.30","-0.30","3","107","N/A","13.04","-25.83","N/A","-8","3.43","0.00","123922","2.25"
"CVS","2/8/18","73.20","84.72","71720","11.25","3.44","47550","1.90","3","75","4.73","0.97","6.45","11.71","7.9","0.41","0.23","8022369","2.57"
"CVX","1/26/18","128.51","127.74","227030","468.82","16.24","36610","1.25","3","20","-2.60","333.29","23.08","23.92","23","1.79","-2.51","4615467","4.11"
"CX","2/8/18","7.87","10.37","10920","N/A","N/A","N/A","N/A","4","192","N/A","11.35","25.48","11.79","19.8","0.84","0.00","8917814","1.41"
"DAL","1/11/18","55.69","56.84","39390","10.03","7.52","10170","0.90","3","84","8.57","-8.06","11.93","10.36","11.7","1","-0.66","5963152","1.56"
"DB","3/19/18","19.16","20.23","39740","N/A","N/A","N/A","N/A","3","106","N/A","N/A","N/A","11.79","15.4","0.93","0.00","2673831","9.28"
"DD","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDD","2/27/18","9.31","23.70","1140","-86.67","-1.45","163.54","0.02","3","59","-70.00","-109.63","509.27","49.99","3.6","1.63","0.00","2634272","9.56"
"DE","2/16/18","158.73","159.10","48010","78.69","36.26","6400","1.09","1","55","9.55","18.86","19.88","19.90","17.4","1.71","18.35","1530997","6.42"
"DHI","1/31/18","52.86","51.83","18880","10.91","12.86","3280","0.61","3","165","15.67","17.42","14.56","15.87","16.5","1.36","1.64","2913839","N/A"
"DIA","N/A","248.95","N/A","N/A","N/A","N/A","N/A","N/A","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DIS","2/6/18","112.28","116.10","167000","2.39","2.76","15190","1.59","3","107","6.45","9.25","4.59","17.95","-4.2","3.06","-0.03","8748579","2.93"
"DJX","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DO","2/12/18","19.77","19.96","2280","-96.90","-11.77","345.74","0.03","3","107","-102.21","-49.47","-94.60","406.53","-11.2","1.73","-62.07","1229075","11.78"
"DOW","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DVN","2/13/18","42.72","49.45","19950","144.40","6.70","3570","0.61","3","69","58.05","478.48","32.06","17.83","-8.3","1.66","-9.57","3927902","2.06"
"DXJ","N/A","60.42","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"EA","1/30/18","109.75","122.79","32770","-14.19","-2.14","2029.9999999999998","2.21","4","107","56.06","23.37","17.73","25.71","2","6.63","-1.22","2951193","0"
"EBAY","1/24/18","39.22","39.28","39280","8.39","8.93","2610","0.59","3","202","5.54","6.47","11.07","17.12","67.6","4.25","0.00","6682447","2.55"
"EOG","2/26/18","110.93","109.66","57610","4850.00","28.69","3090","0.48","3","69","396.00","154.71","171.90","45.64","-8.3","6.15","-4.21","2019295","3.46"
"ESRX","2/13/18","75.66","76.02","39090","10.71","1.06","25130","2.08","3","190","15.92","10.00","10.01","9.73","12.6","0.43","0.33","3457637","7.54"
"ETE","2/28/18","17.82","20.05","18020","48.30","12.94","12200","0.31","3","169","-1.74","7.39","76.69","10.16","-136.5","0.47","-0.46","4858705","8.89"
"ETFC","1/25/18","50.62","51.04","12980","37.54","21.43","618.07","0.59","2","38","20.00","22.43","15.74","19.00","24.8","5.97","2.29","2074309","2.22"
"F","1/25/18","12.76","13.27","49490","45.24","3.19","37150","0.44","3","80","11.11","2.84","-15.90","8.32","9.4","0.33","2.13","24027678","0"
